Step,Value
1,3.80319881439209
2,5.529000759124756
3,6.534952640533447
4,7.947651386260986
5,8.69795036315918
6,9.326454162597656
7,10.681703567504885
8,12.244921684265137
9,13.014178276062012
10,14.616462707519531
11,16.63698387145996
12,18.464473724365234
13,19.407230377197266
14,21.254825592041016
15,22.398658752441406
16,23.655092239379883
17,25.19245719909668
18,27.66453742980957
19,29.08930015563965
20,30.37388610839844
21,32.25882339477539
22,33.34865188598633
23,35.40192031860352
24,36.49232482910156
25,37.246070861816406
26,39.39470672607422
27,40.158790588378906
28,42.773345947265625
29,44.4974250793457
30,45.5418701171875
31,46.47658157348633
32,48.22823715209961
33,48.91591644287109
34,49.96323013305664
35,53.2396125793457
36,53.90316390991211
37,53.53662872314453
38,56.24942398071289
39,56.83829116821289
40,57.10371017456055
41,58.94211196899414
42,59.76537322998047
43,62.76484680175781
44,62.49655151367188
45,63.08254623413086
46,64.33667755126953
47,64.90371704101562
48,64.99161529541016
49,66.7863540649414
50,65.5454330444336
51,68.41046905517578
52,70.31609344482422
53,70.98136138916016
54,72.32339477539062
55,72.31362915039062
56,71.06753540039062
57,74.17674255371094
58,73.4718246459961
59,74.7707748413086
60,75.15856170654297
61,76.52243041992188
62,76.36559295654297
63,76.2190933227539
64,78.02992248535156
65,76.86138153076172
66,77.77599334716797
67,78.77906799316406
68,78.96635437011719
69,79.61898803710938
70,80.82601928710938
71,80.91678619384766
72,82.56158447265625
73,79.45295715332031
74,81.45912170410156
75,82.81092071533203
76,83.1941146850586
77,82.06062316894531
78,83.87145233154297
79,83.03153228759766
80,83.30384063720703
81,84.13169860839844
82,83.96739196777344
83,84.56832122802734
84,84.49076080322266
85,85.79488372802734
86,85.4151382446289
87,86.41132354736328
88,86.05168151855469
89,86.3090591430664
90,86.63422393798828
91,88.23133850097656
92,86.39236450195312
93,87.59019470214844
94,88.57833862304688
95,88.08312225341797
96,87.95040893554688
97,87.22711181640625
98,87.81425476074219
99,88.70243072509766
100,88.92820739746094
