INDEX,ILP,KSPFF,UNMASKED,MASKED,EQUNMASKED,EQMASKED
1,55,43,8,40,29,43
2,108,79,13,61,36,72
3,94,70,2,62,39,74
4,95,92,6,62,31,71
5,74,67,23,49,48,66
6,69,68,5,68,46,69
7,86,79,13,61,41,79
8,101,83,7,70,16,61
9,80,77,10,65,38,68
10,62,61,20,50,12,61
11,53,52,11,51,48,51
12,85,75,6,60,30,62
13,61,52,9,52,11,56
14,79,67,5,53,42,67
15,77,66,10,62,40,60
16,75,75,5,60,38,75
17,86,73,17,60,24,68
18,69,58,7,44,18,67
19,88,71,6,66,51,74
20,84,78,12,56,26,77
21,62,62,19,37,21,62
22,66,53,10,46,27,51
23,73,53,14,50,50,50
24,64,55,12,42,25,53
25,76,73,20,39,32,56
